CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalUnits,Country,Cluster,Segment
12501,337,1,2169.39,14.559664429530201,1783.0,Germany,2,At-Risk Customers
16754,372,1,2002.4,366.75344696969756,4280.0,United Kingdom,2,At-Risk Customers
16152,269,1,1829.04,63.070344827586204,642.0,United Kingdom,2,At-Risk Customers
14935,297,1,1784.71,178.471,935.0,Channel Islands,2,At-Risk Customers
12764,317,1,1693.88,37.64177777777778,386.0,Lebanon,2,At-Risk Customers
12818,262,1,1542.08,110.14857142857143,929.0,Austria,2,At-Risk Customers
17553,130,1,1487.6,366.75344696969756,1048.0,United Kingdom,2,At-Risk Customers
14566,111,1,1432.0,358.0,800.0,Channel Islands,2,At-Risk Customers
13572,206,1,1384.25,41.946969696969695,534.0,United Kingdom,2,At-Risk Customers
12770,211,1,1351.45,112.62083333333334,743.0,Japan,2,At-Risk Customers
13501,288,1,1340.32,25.775384615384613,560.0,Switzerland,2,At-Risk Customers
13328,316,1,1308.48,76.96941176470588,680.0,United Kingdom,2,At-Risk Customers
15171,331,1,1289.5,257.9,290.0,United Kingdom,2,At-Risk Customers
17037,88,1,1267.32,16.8976,656.0,United Kingdom,2,At-Risk Customers
14105,239,1,1266.23,17.111216216216217,800.0,United Kingdom,2,At-Risk Customers
13151,296,1,1257.8700000000001,16.998243243243245,363.0,United Kingdom,2,At-Risk Customers
15004,147,1,1246.32,7.888101265822784,630.0,United Kingdom,2,At-Risk Customers
16766,273,2,1145.6,33.69411764705882,536.0,United Kingdom,2,At-Risk Customers
12769,239,1,1143.6,35.7375,356.0,Brazil,2,At-Risk Customers
16270,353,1,1141.24,21.134074074074075,688.0,United Kingdom,2,At-Risk Customers
15069,179,1,1109.53,15.850428571428571,520.0,United Kingdom,2,At-Risk Customers
15978,77,1,1098.78,22.42408163265306,888.0,United Kingdom,2,At-Risk Customers
12534,131,1,1089.18,17.28857142857143,651.0,Germany,2,At-Risk Customers
12354,232,1,1079.4,18.610344827586207,530.0,Spain,2,At-Risk Customers
16980,255,2,1078.96,12.401839080459771,788.0,United Kingdom,2,At-Risk Customers
13635,68,1,1071.03,17.274677419354838,677.0,United Kingdom,2,At-Risk Customers
14212,90,1,1070.48,118.94222222222223,1152.0,United Kingdom,2,At-Risk Customers
17277,228,2,1065.3500000000001,15.43985507246377,430.0,United Kingdom,2,At-Risk Customers
14488,68,1,1064.28,23.136521739130433,799.0,United Kingdom,2,At-Risk Customers
14411,311,1,1063.0,75.92857142857143,196.0,United Kingdom,2,At-Risk Customers
15464,338,1,1048.85,6.680573248407643,350.0,United Kingdom,2,At-Risk Customers
12497,82,1,1043.1,74.50714285714285,1236.0,Germany,2,At-Risk Customers
13639,74,1,1033.34,25.833499999999997,800.0,United Kingdom,2,At-Risk Customers
13235,212,1,1031.07,17.77706896551724,441.0,United Kingdom,2,At-Risk Customers
15333,208,1,1028.56,64.285,344.0,United Kingdom,2,At-Risk Customers
15104,197,2,1027.44,14.890434782608697,637.0,United Kingdom,2,At-Risk Customers
12514,267,1,1017.68,19.954509803921567,440.0,Italy,2,At-Risk Customers
14195,202,2,1012.0,144.57142857142858,760.0,United Kingdom,2,At-Risk Customers
12446,58,1,1002.3100000000001,17.584385964912283,351.0,RSA,2,At-Risk Customers
14920,213,2,977.77,17.153859649122808,509.0,United Kingdom,2,At-Risk Customers
18194,82,1,973.8399999999999,139.11999999999998,632.0,United Kingdom,2,At-Risk Customers
14256,260,2,969.0600000000001,18.284150943396227,414.0,United Kingdom,2,At-Risk Customers
12550,79,1,964.83,16.92684210526316,569.0,Spain,2,At-Risk Customers
18192,72,1,957.97,21.288222222222224,339.0,United Kingdom,2,At-Risk Customers
13261,269,2,944.1,104.9,210.0,United Kingdom,2,At-Risk Customers
14081,302,2,934.52,6.10797385620915,596.0,United Kingdom,2,At-Risk Customers
18133,212,1,931.4999999999999,366.75344696969756,1350.0,United Kingdom,2,At-Risk Customers
13934,264,1,922.1,29.74516129032258,390.0,United Kingdom,2,At-Risk Customers
12652,331,1,919.98,19.16625,505.0,France,2,At-Risk Customers
13075,130,1,919.61,41.80045454545455,485.0,United Kingdom,2,At-Risk Customers
16216,267,1,914.9300000000001,24.72783783783784,254.0,United Kingdom,2,At-Risk Customers
13689,63,1,910.0,151.66666666666666,512.0,United Kingdom,2,At-Risk Customers
15480,116,1,905.5,20.122222222222224,303.0,Malta,2,At-Risk Customers
16716,267,2,901.2,366.75344696969756,120.0,United Kingdom,2,At-Risk Customers
14625,196,2,899.63,16.974150943396225,335.0,United Kingdom,2,At-Risk Customers
12772,60,1,892.47,16.226727272727274,556.0,Portugal,2,At-Risk Customers
15255,67,1,890.85,18.95425531914894,489.0,United Kingdom,2,At-Risk Customers
17829,299,1,889.24,29.641333333333332,496.0,United Arab Emirates,2,At-Risk Customers
17704,169,2,885.19,28.554516129032258,343.0,United Kingdom,2,At-Risk Customers
15076,173,1,880.85,17.976530612244897,571.0,United Kingdom,2,At-Risk Customers
14770,232,2,876.42,16.854230769230767,490.0,United Kingdom,2,At-Risk Customers
15100,334,3,876.0,292.0,80.0,United Kingdom,2,At-Risk Customers
13294,190,2,873.74,16.18037037037037,453.0,United Kingdom,2,At-Risk Customers
13979,73,1,869.87,16.108703703703704,639.0,United Kingdom,2,At-Risk Customers
17649,138,1,868.49,16.70173076923077,399.0,United Kingdom,2,At-Risk Customers
16567,194,2,865.6,24.731428571428573,996.0,United Kingdom,2,At-Risk Customers
13339,201,1,860.12,15.928148148148148,326.0,United Kingdom,2,At-Risk Customers
16163,232,2,856.6,142.76666666666668,192.0,United Kingdom,2,At-Risk Customers
12878,236,2,854.99,18.191276595744682,547.0,United Kingdom,2,At-Risk Customers
13221,240,2,847.41,12.839545454545455,244.0,United Kingdom,2,At-Risk Customers
16222,318,1,846.72,6.18043795620438,365.0,United Kingdom,2,At-Risk Customers
13929,169,2,842.65,93.62777777777778,143.0,United Kingdom,2,At-Risk Customers
16108,85,1,842.5,17.552083333333332,615.0,United Kingdom,2,At-Risk Customers
15832,254,1,836.79,15.49611111111111,465.0,United Kingdom,2,At-Risk Customers
16644,178,2,833.78,13.448064516129032,826.0,United Kingdom,2,At-Risk Customers
16494,297,1,826.53,16.5306,675.0,United Kingdom,2,At-Risk Customers
13893,298,1,821.1,39.1,190.0,United Kingdom,2,At-Risk Customers
15649,336,2,816.0,366.75344696969756,192.0,United Kingdom,2,At-Risk Customers
18064,133,2,814.0,116.28571428571429,384.0,United Kingdom,2,At-Risk Customers
16276,177,1,810.6000000000001,135.10000000000002,420.0,United Kingdom,2,At-Risk Customers
13707,267,2,806.41,16.800208333333334,351.0,United Kingdom,2,At-Risk Customers
18248,123,2,804.02,17.1068085106383,511.0,United Kingdom,2,At-Risk Customers
13336,77,1,795.12,15.590588235294117,559.0,United Kingdom,2,At-Risk Customers
14557,85,1,788.38,49.27375,510.0,United Kingdom,2,At-Risk Customers
16546,291,2,787.15,31.486,549.0,United Kingdom,2,At-Risk Customers
16054,145,1,783.9,11.198571428571428,380.0,United Kingdom,2,At-Risk Customers
13583,156,1,781.03,14.736415094339621,725.0,United Kingdom,2,At-Risk Customers
12735,315,2,779.5699999999999,18.12953488372093,368.0,France,2,At-Risk Customers
13375,89,1,778.65,21.044594594594592,442.0,United Kingdom,2,At-Risk Customers
12425,78,1,777.2,21.58888888888889,496.0,Portugal,2,At-Risk Customers
15353,255,2,777.02,12.333650793650794,343.0,United Kingdom,2,At-Risk Customers
13341,261,1,775.85,18.472619047619048,301.0,United Kingdom,2,At-Risk Customers
15075,78,1,773.03,28.63074074074074,447.0,United Kingdom,2,At-Risk Customers
12965,89,1,771.91,7.081743119266055,283.0,United Kingdom,2,At-Risk Customers
17409,185,2,771.85,59.37307692307692,105.0,United Kingdom,2,At-Risk Customers
16480,76,1,769.29,14.514905660377357,455.0,United Kingdom,2,At-Risk Customers
13356,80,1,768.24,18.291428571428572,325.0,United Kingdom,2,At-Risk Customers
14672,235,2,765.55,12.549999999999999,454.0,United Kingdom,2,At-Risk Customers
17695,132,2,765.34,21.866857142857143,779.0,United Kingdom,2,At-Risk Customers
14885,132,1,765.3199999999999,51.02133333333333,724.0,United Kingdom,2,At-Risk Customers
15223,226,2,755.75,37.7875,213.0,United Kingdom,2,At-Risk Customers
13370,372,1,754.87,19.355641025641027,343.0,United Kingdom,2,At-Risk Customers
13730,136,2,752.6,17.50232558139535,488.0,United Kingdom,2,At-Risk Customers
16256,267,1,752.4300000000001,57.87923076923077,581.0,United Kingdom,2,At-Risk Customers
12908,176,2,750.0,366.75344696969756,1200.0,United Kingdom,2,At-Risk Customers
15074,105,1,748.87,17.830238095238094,455.0,United Kingdom,2,At-Risk Customers
16859,145,2,747.81,14.380961538461538,827.0,United Kingdom,2,At-Risk Customers
13354,71,1,743.53,14.579019607843136,604.0,United Kingdom,2,At-Risk Customers
13753,288,1,741.26,21.178857142857144,512.0,United Kingdom,2,At-Risk Customers
12976,212,1,738.6,33.57272727272727,561.0,United Kingdom,2,At-Risk Customers
15045,152,2,735.66,61.305,114.0,United Kingdom,2,At-Risk Customers
14778,127,2,730.86,20.881714285714285,306.0,United Kingdom,2,At-Risk Customers
12468,188,2,729.5400000000001,19.19842105263158,366.0,Germany,2,At-Risk Customers
14055,106,1,725.6400000000001,72.56400000000001,216.0,United Kingdom,2,At-Risk Customers
12475,54,1,723.38,20.093888888888888,535.0,Germany,2,At-Risk Customers
17029,111,2,716.0,358.0,400.0,United Kingdom,2,At-Risk Customers
12616,95,2,713.3,22.290625,284.0,France,2,At-Risk Customers
13587,64,1,712.4,89.05,180.0,United Kingdom,2,At-Risk Customers
17642,120,2,712.29,17.80725,474.0,United Kingdom,2,At-Risk Customers
16449,198,2,707.69,17.69225,367.0,United Kingdom,2,At-Risk Customers
12453,134,1,707.09,16.443953488372095,473.0,Austria,2,At-Risk Customers
16309,106,2,706.57,16.823095238095238,467.0,United Kingdom,2,At-Risk Customers
12612,74,1,704.0400000000001,37.054736842105264,262.0,Germany,2,At-Risk Customers
16997,288,3,702.0,58.5,360.0,United Kingdom,2,At-Risk Customers
15800,107,2,699.08,5.874621848739496,335.0,United Kingdom,2,At-Risk Customers
15700,172,2,696.68,8.10093023255814,357.0,United Kingdom,2,At-Risk Customers
14009,198,2,695.61,16.562142857142856,365.0,United Kingdom,2,At-Risk Customers
14643,170,2,693.8100000000001,22.380967741935486,815.0,United Kingdom,2,At-Risk Customers
12410,309,2,693.3299999999999,26.666538461538458,211.0,Switzerland,2,At-Risk Customers
18085,330,2,689.95,23.79137931034483,265.0,United Kingdom,2,At-Risk Customers
18196,95,2,689.13,4.887446808510639,433.0,United Kingdom,2,At-Risk Customers
13799,117,2,688.86,17.663076923076922,402.0,United Kingdom,2,At-Risk Customers
14222,177,1,683.17,16.662682926829266,607.0,United Kingdom,2,At-Risk Customers
13548,96,2,682.41,5.503306451612903,441.0,United Kingdom,2,At-Risk Customers
15322,86,1,679.68,16.18285714285714,416.0,United Kingdom,2,At-Risk Customers
13388,131,2,677.1,19.345714285714287,282.0,United Kingdom,2,At-Risk Customers
16377,267,1,676.2,135.24,1500.0,United Kingdom,2,At-Risk Customers
13325,82,1,675.3,56.275,240.0,United Kingdom,2,At-Risk Customers
13355,122,1,674.7,21.084375,314.0,United Kingdom,2,At-Risk Customers
13464,58,1,674.68,16.45560975609756,403.0,United Kingdom,2,At-Risk Customers
17749,178,2,674.52,19.272,320.0,United Kingdom,2,At-Risk Customers
18121,149,2,673.1,21.034375,450.0,United Kingdom,2,At-Risk Customers
14628,91,2,671.96,27.998333333333335,272.0,United Kingdom,2,At-Risk Customers
12418,113,1,668.58,19.664117647058823,407.0,Switzerland,2,At-Risk Customers
17105,159,2,665.78,7.397555555555555,693.0,United Kingdom,2,At-Risk Customers
15643,192,3,664.0,20.12121212121212,246.0,United Kingdom,2,At-Risk Customers
16573,85,2,663.61,15.800238095238095,360.0,United Kingdom,2,At-Risk Customers
18218,211,2,662.08,31.527619047619048,584.0,United Kingdom,2,At-Risk Customers
14603,275,1,660.0,330.0,400.0,United Kingdom,2,At-Risk Customers
13518,86,1,659.4399999999999,17.353684210526314,392.0,United Kingdom,2,At-Risk Customers
15648,204,2,657.35,26.294,221.0,United Kingdom,2,At-Risk Customers
14894,85,1,655.75,28.51086956521739,265.0,United Kingdom,2,At-Risk Customers
18151,135,2,653.35,17.193421052631578,355.0,United Kingdom,2,At-Risk Customers
15205,85,2,653.24,17.655135135135136,378.0,United Kingdom,2,At-Risk Customers
14548,151,2,652.8,163.2,256.0,United Kingdom,2,At-Risk Customers
14855,119,2,645.65,32.2825,267.0,United Kingdom,2,At-Risk Customers
16431,213,3,642.81,7.744698795180722,453.0,United Kingdom,2,At-Risk Customers
15384,170,2,642.41,15.668536585365853,596.0,United Kingdom,2,At-Risk Customers
17046,157,1,642.02,29.182727272727274,510.0,United Kingdom,2,At-Risk Customers
12365,291,2,641.38,29.153636363636362,174.0,Cyprus,2,At-Risk Customers
12624,106,2,641.13,16.87184210526316,355.0,France,2,At-Risk Customers
12631,57,1,640.5,20.661290322580644,236.0,Finland,2,At-Risk Customers
14301,117,1,640.14,49.24153846153846,606.0,United Kingdom,2,At-Risk Customers
14481,165,2,636.51,21.217,489.0,United Kingdom,2,At-Risk Customers
15829,99,2,636.14,12.473333333333333,996.0,United Kingdom,2,At-Risk Customers
14000,211,1,635.66,42.37733333333333,710.0,United Kingdom,2,At-Risk Customers
14220,247,2,632.4,30.114285714285714,272.0,United Kingdom,2,At-Risk Customers
18183,227,2,632.07,17.082972972972975,371.0,United Kingdom,2,At-Risk Customers
17990,237,3,630.84,21.753103448275862,414.0,United Kingdom,2,At-Risk Customers
14687,107,1,628.38,41.892,470.0,United Kingdom,2,At-Risk Customers
16022,260,1,628.28,8.266842105263157,261.0,United Kingdom,2,At-Risk Customers
15402,149,2,626.77,14.923095238095238,694.0,United Kingdom,2,At-Risk Customers
14036,285,1,626.65,16.49078947368421,268.0,United Kingdom,2,At-Risk Customers
16718,369,1,623.75,13.86111111111111,413.0,United Kingdom,2,At-Risk Customers
15147,240,1,623.5,22.267857142857142,366.0,United Kingdom,2,At-Risk Customers
13368,257,2,623.4,21.49655172413793,327.0,United Kingdom,2,At-Risk Customers
15258,169,2,623.16,18.328235294117647,142.0,United Kingdom,2,At-Risk Customers
17499,290,1,622.88,15.572,711.0,United Kingdom,2,At-Risk Customers
15182,154,2,622.85,21.477586206896554,253.0,United Kingdom,2,At-Risk Customers
17640,87,1,621.66,124.332,250.0,United Kingdom,2,At-Risk Customers
14152,75,2,621.29,12.67938775510204,711.0,United Kingdom,2,At-Risk Customers
13402,127,2,621.23,15.92897435897436,479.0,United Kingdom,2,At-Risk Customers
16141,88,1,620.4,20.68,238.0,United Kingdom,2,At-Risk Customers
12667,58,1,620.13,18.791818181818183,395.0,Finland,2,At-Risk Customers
13493,275,2,618.63,77.32875,380.0,Switzerland,2,At-Risk Customers
16613,70,1,618.59,20.619666666666667,293.0,United Kingdom,2,At-Risk Customers
14377,191,2,617.05,56.095454545454544,219.0,United Kingdom,2,At-Risk Customers
14905,158,2,616.15,36.24411764705882,287.0,United Kingdom,2,At-Risk Customers
16116,212,1,612.78,18.02294117647059,248.0,United Kingdom,2,At-Risk Customers
12513,113,1,612.29,17.494,462.0,France,2,At-Risk Customers
15232,113,2,612.06,19.743870967741934,686.0,United Kingdom,2,At-Risk Customers
16109,219,2,611.88,33.99333333333333,612.0,United Kingdom,2,At-Risk Customers
16763,199,1,611.85,26.60217391304348,319.0,United Kingdom,2,At-Risk Customers
13731,219,2,610.59,16.068157894736842,278.0,United Kingdom,2,At-Risk Customers
15795,150,1,610.01,14.524047619047618,581.0,United Kingdom,2,At-Risk Customers
13357,257,1,609.95,6.777222222222223,322.0,United Kingdom,2,At-Risk Customers
13933,109,2,608.7900000000001,26.469130434782613,205.0,United Kingdom,2,At-Risk Customers
13888,120,2,605.63,15.14075,258.0,United Kingdom,2,At-Risk Customers
17507,262,2,605.58,6.881590909090909,359.0,United Kingdom,2,At-Risk Customers
13233,74,2,605.12,14.072558139534884,1004.0,United Kingdom,2,At-Risk Customers
14323,115,2,605.0600000000001,16.807222222222222,350.0,United Kingdom,2,At-Risk Customers
12707,292,1,603.42,18.285454545454545,256.0,France,2,At-Risk Customers
17259,148,2,603.37,4.865887096774194,410.0,United Kingdom,2,At-Risk Customers
15366,75,2,602.51,13.69340909090909,621.0,United Kingdom,2,At-Risk Customers
17890,323,2,602.09,6.405212765957447,416.0,United Kingdom,2,At-Risk Customers
12420,64,1,600.39,20.70310344827586,345.0,Cyprus,2,At-Risk Customers
13243,203,1,600.07,10.346034482758622,233.0,United Kingdom,2,At-Risk Customers
12872,327,2,599.97,9.090454545454547,319.0,United Kingdom,2,At-Risk Customers
12521,143,1,599.68,15.781052631578946,309.0,Germany,2,At-Risk Customers
14965,96,2,599.0,7.216867469879518,365.0,United Kingdom,2,At-Risk Customers
16788,123,2,597.48,3.854709677419355,311.0,United Kingdom,2,At-Risk Customers
14645,157,2,597.09,19.903000000000002,381.0,United Kingdom,2,At-Risk Customers
15381,214,2,596.85,74.60625,171.0,United Kingdom,2,At-Risk Customers
12917,128,1,594.0,297.0,120.0,United Kingdom,2,At-Risk Customers
15442,249,1,594.0,297.0,120.0,United Kingdom,2,At-Risk Customers
13270,366,1,590.0,366.75344696969756,200.0,United Kingdom,2,At-Risk Customers
13452,259,2,590.0,295.0,12.0,United Kingdom,2,At-Risk Customers
16723,91,2,589.15,13.701162790697675,399.0,United Kingdom,2,At-Risk Customers
16838,197,2,588.85,23.554000000000002,185.0,United Kingdom,2,At-Risk Customers
14338,161,2,588.22,18.97483870967742,335.0,United Kingdom,2,At-Risk Customers
15222,319,1,585.0,117.0,440.0,United Kingdom,2,At-Risk Customers
16384,90,2,584.5,17.71212121212121,260.0,United Kingdom,2,At-Risk Customers
16072,288,1,584.3199999999999,25.405217391304344,140.0,United Kingdom,2,At-Risk Customers
15762,65,2,583.75,15.777027027027026,251.0,United Kingdom,2,At-Risk Customers
12426,195,1,582.73,19.424333333333333,258.0,Germany,2,At-Risk Customers
17970,211,1,582.59,18.793225806451613,525.0,United Kingdom,2,At-Risk Customers
18095,313,2,580.0500000000001,27.621428571428574,419.0,United Kingdom,2,At-Risk Customers
17142,239,1,579.0,38.6,81.0,United Kingdom,2,At-Risk Customers
14176,297,4,576.9000000000001,18.609677419354842,209.0,United Kingdom,2,At-Risk Customers
14400,149,1,574.7,22.988000000000003,454.0,United Kingdom,2,At-Risk Customers
15339,66,2,574.07,6.675232558139536,416.0,United Kingdom,2,At-Risk Customers
15303,290,1,574.02,18.516774193548386,248.0,United Kingdom,2,At-Risk Customers
15415,313,1,572.8100000000001,11.933541666666668,575.0,United Kingdom,2,At-Risk Customers
12816,96,2,572.2,19.731034482758623,128.0,Poland,2,At-Risk Customers
17616,174,3,571.1999999999999,190.39999999999998,224.0,United Kingdom,2,At-Risk Customers
15315,64,2,570.5,15.41891891891892,862.0,United Kingdom,2,At-Risk Customers
16667,68,2,570.13,10.757169811320754,237.0,United Kingdom,2,At-Risk Customers
13321,72,2,567.36,51.57818181818182,372.0,United Kingdom,2,At-Risk Customers
17897,173,3,566.6,4.970175438596492,229.0,United Kingdom,2,At-Risk Customers
16278,100,1,566.38,24.625217391304346,114.0,United Kingdom,2,At-Risk Customers
14753,87,1,563.15,18.771666666666665,211.0,United Kingdom,2,At-Risk Customers
17265,139,2,562.9,4.432283464566929,394.0,United Kingdom,2,At-Risk Customers
12414,217,3,562.41,31.244999999999997,300.0,Austria,2,At-Risk Customers
12559,311,2,561.71,26.74809523809524,283.0,Germany,2,At-Risk Customers
15655,243,1,560.67,16.490294117647057,324.0,United Kingdom,2,At-Risk Customers
13044,291,1,560.47,16.983939393939394,429.0,United Kingdom,2,At-Risk Customers
16275,197,1,559.87,16.965757575757575,336.0,United Kingdom,2,At-Risk Customers
12866,283,1,559.12,21.504615384615384,171.0,Belgium,2,At-Risk Customers
12987,74,2,558.7,19.95357142857143,219.0,United Kingdom,2,At-Risk Customers
13800,310,1,558.32,16.91878787878788,331.0,United Kingdom,2,At-Risk Customers
13260,61,1,557.62,69.7025,142.0,United Kingdom,2,At-Risk Customers
14891,148,2,554.38,16.79939393939394,505.0,United Kingdom,2,At-Risk Customers
12363,110,2,552.0,24.0,408.0,Unspecified,2,At-Risk Customers
17674,74,2,551.04,20.40888888888889,672.0,United Kingdom,2,At-Risk Customers
17291,308,1,550.8000000000001,366.75344696969756,72.0,United Kingdom,2,At-Risk Customers
12390,80,1,549.84,17.1825,353.0,Belgium,2,At-Risk Customers
16340,107,1,549.07,3.5886928104575166,501.0,United Kingdom,2,At-Risk Customers
16536,110,1,548.97,9.981272727272728,251.0,United Kingdom,2,At-Risk Customers
16031,92,2,548.94,5.489400000000001,423.0,United Kingdom,2,At-Risk Customers
16211,89,1,547.02,23.783478260869565,154.0,United Kingdom,2,At-Risk Customers
17520,54,1,546.81,18.226999999999997,365.0,United Kingdom,2,At-Risk Customers
12743,134,2,546.43,4.077835820895522,319.0,Unspecified,2,At-Risk Customers
12793,335,2,545.48,22.728333333333335,295.0,Portugal,2,At-Risk Customers
13390,75,1,544.08,41.8523076923077,224.0,United Kingdom,2,At-Risk Customers
16230,190,2,542.03,15.486571428571429,365.0,United Kingdom,2,At-Risk Customers
13874,358,1,540.45,30.025000000000002,180.0,United Kingdom,2,At-Risk Customers
14496,312,2,538.8100000000001,28.35842105263158,159.0,United Kingdom,2,At-Risk Customers
17062,314,4,538.37,7.691,430.0,United Kingdom,2,At-Risk Customers
16142,250,1,535.34,14.46864864864865,422.0,United Kingdom,2,At-Risk Customers
12988,292,1,535.32,5.818695652173914,136.0,United Kingdom,2,At-Risk Customers
13385,330,1,534.57,15.273428571428573,281.0,United Kingdom,2,At-Risk Customers
13434,74,2,534.24,53.424,300.0,United Kingdom,2,At-Risk Customers
17443,220,1,534.24,366.75344696969756,504.0,Canada,2,At-Risk Customers
15433,214,2,533.3,13.00731707317073,534.0,United Kingdom,2,At-Risk Customers
15825,172,1,532.94,26.647000000000002,220.0,United Kingdom,2,At-Risk Customers
